"Sku Id","Title","Rack Space","Good","Bad","Picked"
"10804-Navy-L","Navy Crepe Regular Fit Tunic with Curved Hemline","36-G","1","0",""
"10940-Navy-2XL","Navy Net Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"11042-Black-4XL","Black Crepe Relaxed Fit Kaftan with Flared Hemline","Virtual","1","0",""
"11121-Black-5XL","Black Crepe Regular Fit Top with Straight Hemline","Virtual","1","0",""
"11189-Black-M","Black Georgette Regular Fit Dress with Flared Hemline and With Lining","25-L","1","0",""
"12006-Navy-M","Navy Georgette Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"12007-Black-2XL","Black Satin Regular Fit Dress with Flared Hemline","Virtual","1","0",""
"12020-Green-2XL","Green Moss Crepe Regular Fit Kaftan with Straight Hemline","Virtual","1","0",""
"12026-White-3XL","White Crepe Regular Fit Top with Curved Hemline","35-H","1","0",""
"12027-Black-4XL","Black Crepe Relaxed Fit Top with Curved Hemline","30-C","1","0",""
"12033-Black-5XL","Black Georgette Loose Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"12057-Black-2XL","Black Georgette Western, Fusion, Relaxed Dress with Flared Hemline and With Lining","Virtual","1","0",""
"12057-Black-3XL","Black Georgette Western, Fusion, Relaxed Dress with Flared Hemline and With Lining","Virtual","1","0",""
"12057-Black-M","Black Georgette Western, Fusion, Relaxed Dress with Flared Hemline and With Lining","35-J","1","0",""
"13006-Multi-5XL","Multi Georgette Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"13020-Black-3XL","Black Crepe Regular Fit Dress with Flared Hemline","25-G","1","0",""
"13020-Black-L","Black Crepe Regular Fit Dress with Flared Hemline","25-G","1","0",""
"13026-Magenta-4XL","Magenta Moss Crepe Loose Fit Kaftan with Hi-Low Hemline","30-C","1","0",""
"13035-Yellow-XL","Yellow Georgette Regular Fit, Loose Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"13043-Magenta-XL","Magenta Georgette Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"13069-Pink-XL","Pink Silk Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"13072-Sea Green-M","Sea Green Silk Regular Fit Dress with Curved Hemline and With Lining","26-C","1","0",""
"14042-Mint Green-4XL","Mint Green Georgette Regular Fit Top with Curved Hemline","32-A","1","0",""
"14054-Black-4XL","Black Crepe Relaxed Fit Shrug with Straight Hemline","30-M","1","0",""
"14072-Purple-5XL","Purple Georgette Regular Fit Top with Curved Hemline","30-Q","3","0",""
"15019-Purple-3XL","Purple Georgette Regular Fit Top with Curved Hemline and With Lining","Virtual","1","0",""
"15038-Pink-4XL","Pink Georgette Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"15052-Pink-XL","Pink Crepe Relaxed Fit Top with Curved Hemline","44-O","1","0",""
"15054-Pink-2XL","Pink Georgette Regular Fit Dress with Curved Hemline and With Lining","43-K","1","0",""
"15056-Green-XL","Green Crepe Regular Fit Shirt with Curved Hemline","43-D","1","0",""
"15077-Turquoise-S","Turquoise Rayon Regular Fit Shirt with Curved Hemline","27-O","1","0",""
"15083-Burgundy-4XL","Burgundy Net Relaxed Fit Dress with Flared Hemline","41-J","1","0",""
"15083-Burgundy-S","Burgundy Net Relaxed Fit Dress with Flared Hemline","Virtual","1","0",""
"16001-Black-3XL","Black Crepe Relaxed Fit Shirt with Straight Hemline","Virtual","1","0",""
"16001-Black-XL","Black Crepe Relaxed Fit Shirt with Straight Hemline","Virtual","1","0",""
"16009-Red-M","Red Georgette Regular Fit Shrug with Asymmetric Hemline","Virtual","1","0",""
"16015-Pink-M","Pink Georgette Regular Fit Top with Hi-Low Hemline and With Lining","Virtual","1","0",""
"16055-Magenta-2XL","Magenta Crepe Regular Fit Shirt with Curved Hemline","37-K","1","0",""
"16055-Magenta-5XL","Magenta Crepe Regular Fit Shirt with Curved Hemline","37-K","1","0",""
"16055-Magenta-XL","Magenta Crepe Regular Fit Shirt with Curved Hemline","37-K","1","0",""
"16077-Wine-4XL","Wine Georgette Regular Fit Shrug with Straight Hemline","Virtual","1","0",""
"16090-Navy-L","Navy Cotton Loose Fit Dress with Flared Hemline","39-F","1","0",""
"16095-Green-2XL","Green Crepe Regular Fit Top with Curved Hemline","26-C","1","0",""
"16097-Yellow-4XL","Yellow Georgette Regular Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"17019-Purple-L","Purple Georgette Regular Fit Shirt with Curved Hemline","27-H","1","0",""
"17063-Blue-4XL","Blue Crepe Regular Fit Shirt with Curved Hemline","28-J","1","0",""
"17071-Magenta-4XL","Magenta Fleece Regular Fit Coat with Straight Hemline","3-D","1","0",""
"17084-White-L","White Cotton Loose Fit Dress with Flounce Hemline","Virtual","1","0",""
"18024-Rust-3XL","Rust Georgette Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"18024-Rust-L","Rust Georgette Regular Fit Dress with Curved Hemline and With Lining","Default","1","0",""
"18035-Magenta-4XL","Magenta Jersey Relaxed Fit Dress with Flared Hemline","37-B","1","0",""
"18043-Red-4XL","Red Lycra Slim Fit Dress with Flared Hemline","Virtual","1","0",""
"18044-Teal-S","Teal Lycra Slim Fit Dress with Flared Hemline","21-F","1","0",""
"18050-Orange-XL","Orange Crepe Loose Fit Shirt with Curved Hemline","Virtual","1","0",""
"18059-Navy-XL","Navy Georgette Regular Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"18060-Maroon-4XL","Maroon Silk Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"18069-Rust-2XL","Rust Georgette Slim Fit Dress with Flared Hemline and With Lining","22-A","1","0",""
"18069-Rust-4XL","Rust Georgette Slim Fit Dress with Flared Hemline and With Lining","22-A","2","0",""
"18069-Rust-S","Rust Georgette Slim Fit Dress with Flared Hemline and With Lining","22-A","1","0",""
"18069-Rust-XL","Rust Georgette Slim Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"18077-Multi-XL","Multi Georgette Regular Fit Shirt with Curved Hemline","12-E","2","0",""
"18085-Orange-5XL","Orange Jersey Relaxed Fit Dress with Curved Hemline","Default","1","0",""
"18087-Green-5XL","Green Crepe Loose Fit Shirt with Curved Hemline","9-D","1","0",""
"18087-Green-M","Green Crepe Loose Fit Shirt with Curved Hemline","Virtual","1","0",""
"18088-Green-5XL","Green Crepe Loose Fit Shorts with Curved Hemline","9-D","1","0",""
"18088-Green-M","Green Crepe Loose Fit Shorts with Curved Hemline","9-D","1","0",""
"18089-Green-2XL","Green Georgette Regular Fit Shrug with Straight Hemline","22-G","1","0",""
"18091-Navy-3XL","Navy Georgette Slim Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"18091-Navy-4XL","Navy Georgette Slim Fit Dress with Curved Hemline and With Lining","Virtual","2","0",""
"18091-Navy-M","Navy Georgette Slim Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"18091-Navy-XL","Navy Georgette Slim Fit Dress with Curved Hemline and With Lining","Virtual","3","0",""
"18096-Gray-2XL","Gray Cotton Loose Fit Dress with Curved Hemline","21-C","1","0",""
"18096-Gray-XL","Gray Cotton Loose Fit Dress with Curved Hemline","Virtual","2","0",""
"19006-Green-2XL","Green Crepe Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19009-Ivory-4XL","Ivory Cotton Regular Fit Top with Curved Hemline","29-F","1","0",""
"19010-Ivory-4XL","Ivory Cotton Regular Fit Pant with Straight Hemline","39-M","1","0",""
"19023-Wine-2XL","Wine Georgette Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"19027-Navy-2XL","Navy Crepe Regular Fit Dress with Curved Hemline","14-H","1","0",""
"19027-Navy-2XL","Navy Crepe Regular Fit Dress with Curved Hemline","Virtual","1","0",""
"19027-Navy-4XL","Navy Crepe Regular Fit Dress with Curved Hemline","14-H","1","0",""
"19029-Green-XL","Green Rayon Regular Fit Dress with Flared Hemline","37-A","1","0",""
"19043-Navy-3XL","Navy Crepe Regular Fit Shirt with Curved Hemline","Default","1","0",""
"19043-Navy-L","Navy Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19047-Gray-2XL","Gray Moss Crepe Relaxed Fit Top with Curved Hemline","12-D","1","0",""
"19047-Gray-3XL","Gray Moss Crepe Relaxed Fit Top with Curved Hemline","Virtual","1","0",""
"19047-Gray-4XL","Gray Moss Crepe Relaxed Fit Top with Curved Hemline","Default","1","0",""
"19047-Gray-5XL","Gray Moss Crepe Relaxed Fit Top with Curved Hemline","Virtual","1","0",""
"19048-Gray-5XL","Gray Moss Crepe Relaxed Fit Top with Curved Hemline","12-D","1","0",""
"19049-Blue-4XL","Blue Moss Crepe Relaxed Fit Top with Curved Hemline","12-A","1","0",""
"19049-Blue-XL","Blue Moss Crepe Relaxed Fit Top with Curved Hemline","Virtual","1","0",""
"19050-Black-XL","Black Crepe Relaxed Fit Top with Curved Hemline","12-A","1","0",""
"19052-Navy-3XL","Navy Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19052-Navy-5XL","Navy Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19053-Black-2XL","Black Crepe Loose Fit Top with Curved Hemline","11-O","1","0",""
"19057-Black-2XL","Black Georgette Regular Fit Dress with Curved Hemline and With Lining","42-C","1","0",""
"19057-Black-L","Black Georgette Regular Fit Dress with Curved Hemline and With Lining","12-C","1","0",""
"19064-Black-3XL","Black Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19064-Black-M","Black Crepe Loose Fit Top with Curved Hemline","17-H","1","0",""
"19065-Black-4XL","Black Crepe Loose Fit Dress with Ruffled Hemline","Virtual","1","0",""
"19066-Black-5XL","Black Crepe Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19077-Red-3XL","Red Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19082-Black-5XL","Black Crepe Loose Fit Dress with Curved Hemline","16-J","1","0",""
"19087-Black-XL","Black Crepe Loose Fit Dress with Hemline","15-K","1","0",""
"19089-Red-XL","Red Crepe Loose Fit Top with Curved Hemline","13-D","1","0",""
"19090-Yellow-2XL","Yellow Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19090-Yellow-3XL","Yellow Crepe Loose Fit Top with Curved Hemline","11-A","1","0",""
"19090-Yellow-5XL","Yellow Crepe Loose Fit Top with Curved Hemline","11-A","1","0",""
"19093-Turquoise-4XL","Turquoise Sequins Regular Fit Dress with Curved Hemline and With Lining","41-J","1","0",""
"19098-Green-4XL","Green Georgette Fit & Flare Dress with Curved Hemline and With Lining","Virtual","1","0",""
"19099-Wine-4XL","Wine Silk Fit & Flare Dress with Curved Hemline and With Lining","Virtual","1","0",""
"19101-Green-4XL","Green Silk Fit & Flare Dress with Curved Hemline and With Lining","12-O","1","0",""
"19108-Burgundy-L","Burgundy Georgette Regular Fit Shrug with Straight Hemline","Virtual","1","0",""
"19109-Gray-L","Gray Crepe Relaxed Fit Top with Curved Hemline","Virtual","1","0",""
"19112-Yellow-5XL","Yellow Silk Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19126-Rust-5XL","Rust Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19128-Green-2XL","Green Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19131-Wine-4XL","Wine Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19137-Wine-5XL","Wine Anti-Piling Fleece Relaxed Fit Coat with Straight Hemline","4-G","1","0",""
"19147-Black-3XL","Black Fleece Relaxed Fit Hoodie with Straight Hemline","1-F","1","0",""
"19156-Yellow-2XL","Yellow Crepe Relaxed Fit Top with Curved Hemline","Virtual","1","0",""
"19169-Pink-4XL","Pink Moss Crepe Regular Fit Dress with Curved Hemline","Virtual","1","0",""
"19171-Navy-5XL","Navy Crepe Regular Fit Shrug with Straight Hemline","Virtual","1","0",""
"19174-Orange-5XL","Orange Georgette Regular Fit DRESS with Curved Hemline and With Lining","12-I","1","0",""
"19176-Black-2XL","Black Fleece Regular Fit Jacket with Straight Hemline and With Lining","3-E","1","0",""
"19177-Black-5XL","Black Georgette Regular Fit Kaftan with Asymmetric Hemline","Virtual","1","0",""
"19177-Black-S","Black Georgette Regular Fit Kaftan with Asymmetric Hemline","Virtual","1","0",""
"19185-White-L","White Georgette Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19186-Purple-S","Purple Georgette Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19188-Black-3XL","Black Crepe Relaxed Fit Top with Curved Hemline","Virtual","1","0",""
"19188-Black-5XL","Black Crepe Relaxed Fit Top with Curved Hemline","41-J","1","0",""
"19225-Black-2XL","Black lycra Bodycon Dress with Straight Hemline","Virtual","1","0",""
"19227-Black-3XL","Black Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19243-Black-2XL","Black Scrubble Slim Fit Top with Straight Hemline","Virtual","1","0",""
"19244-Black-3XL","Black Sequins Slim Fit Top with Straight Hemline","17-E","1","0",""
"19246-Royal Blue-4XL","Royal Blue Crepe Regular Fit Dress with Curved Hemline","Virtual","1","0",""
"19246-Royal Blue-5XL","Royal Blue Crepe Regular Fit Dress with Curved Hemline","Virtual","1","0",""
"19246-Royal Blue-XL","Royal Blue Crepe Regular Fit Dress with Curved Hemline","Virtual","1","0",""
"19247-Black-2XL","Black Scrubble Slim Fit Top with Curved Hemline","40-E","1","0",""
"19250-Sea Green-2XL","Sea Green Lycra Bodycon Skirt with Straight Hemline","Virtual","1","0",""
"19256-Peach-3XL","Peach Satin Regular Fit Top","Virtual","1","0",""
"19256-Peach-M","Peach Satin Regular Fit Top","Virtual","1","0",""
"19267-Black-4XL","Black Cotton Slub Regular Fit Shirt with Curved Hemline","11-K","1","0",""
"19272-Gray-L","Gray Cotton Slub Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19276-Brown-4XL","Brown Cotton Slub Regular Fit Dress with Curved Hemline","Virtual","1","0",""
"19292-Maroon-3XL","Maroon Crepe Loose Fit Shirt with Hi-Low Hemline","Virtual","1","0",""
"19293-Red-XL","Red Crepe Loose Fit Shirt with Hi-Low Hemline","Default","1","0",""
"19296-Navy-2XL","Navy Crepe Loose Fit Shirt with Hi-Low Hemline","Virtual","1","0",""
"19298-Black-4XL","Black Crepe Loose Fit Shirt with Hi-Low Hemline","Virtual","1","0",""
"19298-Black-M","Black Crepe Loose Fit Shirt with Hi-Low Hemline","Virtual","1","0",""
"19299-Yellow-XL","Yellow Crepe Loose Fit Shirt with Hi-Low Hemline","Assign Rack","1","0",""
"19317-Black-4XL","Black Crepe Regular Fit Dress with Straight Hemline","Virtual","1","0",""
"19319-Green-2XL","Green Satin Regular Fit Top with Curved Hemline","Default","1","0",""
"19319-Green-L","Green Satin Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19321-Magenta-L","Magenta Crepe Loose Fit Shirt with Hi-Low Hemline","Virtual","1","0",""
"19322-Red-4XL","Red Crepe Loose Fit Shirt with Hi-Low Hemline","31-A","1","0",""
"19322-Red-XL","Red Crepe Loose Fit Shirt with Hi-Low Hemline","Virtual","1","0",""
"19325-Magenta-4XL","Magenta Rayon Loose Fit Dress with Asymmetric Hemline","Virtual","1","0",""
"19325-Magenta-L","Magenta Rayon Loose Fit Dress with Asymmetric Hemline","11-J","1","0",""
"19330-Blue-5XL","Blue Crepe Regular Fit Dress with Straight Hemline","Virtual","2","0",""
"19339-Red-4XL","Red Rayon Loose Fit Dress with Straight Hemline","Virtual","1","0",""
"19347-Navy-3XL","Navy Crepe Regular Fit Top with Asymmetric Hemline","11-L","1","0",""
"19375-Mint Green-4XL","Mint Green Scrubble Slim Fit Top with Curved Hemline","18-F","1","0",""
"19385-White-XL","White Lycra Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19386-White-2XL","White Lycra Regular Fit Shorts with Straight Hemline","11-E","1","0",""
"19387-Blue-3XL","Blue Crepe Regular Fit Top with Asymmetric Hemline","Virtual","1","0",""
"19401-White-L","White Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19411-Black-2XL","Black Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19429-Burgundy-5XL","Burgundy Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19430-Black-3XL","Black Crepe Regular Fit Top with Curved Hemline","16-N","1","0",""
"19439-Brown-XL","Brown Georgette Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"19442-Turquoise-L","Turquoise Silk Regular Fit Top with Curved Hemline","18-C","1","0",""
"19452-Olive-3XL","Olive Georgette Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"19461-Lavender-L","Lavender Moss Crepe Regular Fit Top with Hi-Low Hemline","16-E","1","0",""
"19462-Black-2XL","Black Crepe Regular Fit Top with Straight Hemline","Virtual","1","0",""
"19483-Blue-2XL","Blue Cotton Loose Fit Dress with Straight Hemline","Virtual","1","0",""
"19499-Maroon-XS","Maroon Crepe Loose Fit Shirt with Curved Hemline","Virtual","1","0",""
"19533-Yellow-XL","Yellow Cotton Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19535-Blue-2XL","Blue Cotton Regular Fit Top with Curved Hemline","Virtual","2","0",""
"19535-Blue-4XL","Blue Cotton Regular Fit Top with Curved Hemline","Virtual","2","0",""
"19536-Black-2XL","Black Cotton Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19536-Black-4XL","Black Cotton Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19542-White-2XL","White Poplin Loose Fit Dress with Curved Hemline","13-J","1","0",""
"19546-Black-4XL","Black Rayon Regular Fit Top with Straight Hemline","Virtual","1","0",""
"19553-Pink-4XL","Pink Moss Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19554-White-L","White Rayon Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19558-Black-XXS","Black Rayon Regular Fit Skirt with Curved Hemline","40-H","1","0",""
"19567-Black-2XL","Black Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19568-Beige-4XL","Beige Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19569-Beige-4XL","Beige Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19570-Magenta-5XL","Magenta Crepe Relaxed Fit Shirt with Curved Hemline","9-J","1","0",""
"19570-Magenta-5XL","Magenta Crepe Relaxed Fit Shirt with Curved Hemline","Virtual","2","0",""
"19571-Magenta-5XL","Magenta Crepe Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19572-Yellow-3XL","Yellow Rayon Relaxed Fit Shirt with Curved Hemline","9-K","1","0",""
"19575-Green-5XL","Green Crepe Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19576-Black-2XL","Black Rayon Loose Fit Top with Straight Hemline","Virtual","1","0",""
"19579-Magenta-4XL","Magenta Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19579-Magenta-XL","Magenta Rayon Relaxed Fit Shirt with Curved Hemline","15-B","1","0",""
"19580-Pink-4XL","Pink Cotton Loose Fit Shorts with Straight Hemline","9-L","1","0",""
"19580-Pink-XL","Pink Cotton Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19581-Black-5XL","Black Rayon Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19582-Black-5XL","Black Cotton Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19583-Lavender-3XL","Lavender Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19584-Lavender-3XL","Lavender Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19589-Yellow-3XL","Yellow Rayon Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19599-Black-4XL","Black Crepe Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19600-Black-4XL","Black Crepe Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19601-Red-4XL","Red Crepe Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19601-Red-5XL","Red Crepe Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19602-Red-4XL","Red Crepe Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19602-Red-5XL","Red Crepe Regular Fit Pant with Straight Hemline","9-N","1","0",""
"19603-Yellow-4XL","Yellow Crepe Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19604-Yellow-4XL","Yellow Crepe Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19605-Magenta-4XL","Magenta Crepe Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19605-Magenta-5XL","Magenta Crepe Regular Fit Pant with Straight Hemline","9-J","1","0",""
"19605-Magenta-5XL","Magenta Crepe Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19605-Magenta-XL","Magenta Crepe Regular Fit Pant with Straight Hemline","9-J","1","0",""
"19620-Maroon-5XL","Maroon Satin Regular Fit Shrug with Curved Hemline","9-O","1","0",""
"19626-Navy-3XL","Navy Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19627-Brown-3XL","Brown Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19639-Blue-XXS","Blue Cotton Loose Fit Dress with Curved Hemline","39-O","1","0",""
"19647-Olive-3XL","Olive Rayon Loose Fit Dress with Curved Hemline","21-K","1","0",""
"19649-Blue-2XL","Blue Linen Loose Fit Dress with Curved Hemline","Assign Rack","1","0",""
"19649-Blue-4XL","Blue Linen Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19649-Blue-M","Blue Linen Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19657-Multi-5XL","Multi Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19661-Black-4XL","Black Crepe Loose Fit Shrug with Straight Hemline","Virtual","1","0",""
"19661-Black-5XL","Black Crepe Loose Fit Shrug with Straight Hemline","Virtual","1","0",""
"19665-Navy-2XL","Navy Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19665-Navy-3XL","Navy Crepe Regular Fit Shirt with Curved Hemline","19-C","1","0",""
"19665-Navy-5XL","Navy Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19667-Black-3XL","Black Crepe Loose Fit Shirt Dress with Curved Hemline","19-D","1","0",""
"19667-Black-M","Black Crepe Loose Fit Shirt Dress with Curved Hemline","Virtual","2","0",""
"19668-Maroon-3XL","Maroon Crepe Loose Fit Shirt Dress with Curved Hemline","19-C","1","0",""
"19669-White-5XL","White Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19673-Black-2XL","Black Crepe Regular Fit Shirt with Asymmetric Hemline","Virtual","1","0",""
"19673-Black-3XL","Black Crepe Regular Fit Shirt with Asymmetric Hemline","Virtual","2","0",""
"19673-Black-4XL","Black Crepe Regular Fit Shirt with Asymmetric Hemline","Virtual","1","0",""
"19673-Black-5XL","Black Crepe Regular Fit Shirt with Asymmetric Hemline","Virtual","1","0",""
"19677-Maroon-2XL","Maroon Crepe Regular Fit Shirt with Curved Hemline","Default","1","0",""
"19677-Maroon-5XL","Maroon Crepe Regular Fit Shirt with Curved Hemline","Virtual","2","0",""
"19677-Maroon-L","Maroon Crepe Regular Fit Shirt with Curved Hemline","Default","1","0",""
"19691-Pink-5XL","Pink Rayon Relaxed Fit Kaftan with Straight Hemline","Assign Rack","1","0",""
"19692-White-2XL","White Poplin Regular Fit Shirt with Asymmetric Hemline","39-I","1","0",""
"19700-Black-3XL","Abstract print color block shirt dress","Virtual","1","0",""
"19700-Black-4XL","Abstract print color block shirt dress","Virtual","1","0",""
"19711-Navy-4XL","Navy Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19712-Mauve-2XL","Satin shirt with cuff sleeve","Virtual","1","0",""
"19736-Black-2XL","Black Moss Crepe Regular Fit Top with Straight Hemline","Virtual","1","0",""
"19736-Black-4XL","Black Moss Crepe Regular Fit Top with Straight Hemline","42-O","1","0",""
"19751-Black-XL","Black Satin crush Regular Fit Shirt with Curved Hemline","Default","1","0",""
"19753-Royal Blue-2XL","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19753-Royal Blue-3XL","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","19-D","2","0",""
"19753-Royal Blue-3XL","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19753-Royal Blue-L","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","2","0",""
"19753-Royal Blue-M","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19753-Royal Blue-S","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","2","0",""
"19753-Royal Blue-XL","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Default","3","0",""
"19753-Royal Blue-XL","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19775-bronze-L","bronze Organza Regular Fit Shirt with Curved Hemline","19-A","1","0",""
"19785-Green-3XL","Green Silk Blend Regular Fit shirt with Curved Hemline","19-E","1","0",""
"19791-Red-XL","Red Fleece Regular Fit Skirt with Straight Hemline","4-I","1","0",""
"19800-Black-3XL","Black Satin Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19810-Black-XS","Black Georgette Regular Fit Shrug with Curved Hemline","Virtual","1","0",""
"19820-Ruby red-XL","Ruby red Silk Blend Regular Fit Shirt with Curved Hemline","15-B","1","0",""
"19822-Black-2XL","Black Crepe Regular Fit Dress with Straight Hemline","Virtual","1","0",""
"19822-Black-5XL","Black Crepe Regular Fit Dress with Straight Hemline","19-H","1","0",""
"19822-Black-L","Black Crepe Regular Fit Dress with Straight Hemline","19-H","1","0",""
"19826-Green-2XL","Green Crepe Regular Fit Top with Curved Hemline","13-F","1","0",""
"19851-Red-2XL","Red Crepe Regular Fit Top with Curved Hemline","Default","1","0",""
"19882-Orange-XL","Orange Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19984-Purple-2XL","Purple Satin Crush Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"24012-Yellow-L","Yellow Silk Regular Fit Kaftan with Asymmetric Hemline","Virtual","1","0",""
"24020-Royal Blue-4XL","Royal Blue Silk Loose Fit Dress with Curved Hemline","Default","1","0",""
"24031-Orange-2XL","Orange Silk Loose Fit Dress with Asymmetric Hemline","Virtual","1","0",""
"24041-Black-S","Black Silk Loose Fit Dress with Asymmetric Hemline","Virtual","1","0",""